elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps
13.59490285,39.00032496,-76.5,-3.890810948e-12,3
13.64519206,39.00032631,-76.5,-5.74738101e-12,3
13.69548596,39.00032766,-76.5,-4.822994302e-12,3
13.74573236,39.00032901,-76.5,-4.885233601e-12,3
13.79602034,39.00033171,-76.5,-2.580336186e-13,3
13.84630376,39.00033306,-76.5,6.904971722e-12,3
13.896583,39.00033441,-76.5,-2.702702592e-12,3
13.94680994,39.00033577,-76.5,-6.22157122e-12,3
13.99702763,39.00033712,-76.5,-4.37792361e-12,3
14.0472465,39.00033847,-76.5,4.109669237e-12,3
14.09743458,39.00033982,-76.5,-4.754390023e-13,3
14.14762373,39.00034117,-76.5,5.165503625e-12,3
14.19785608,39.00034252,-76.5,-4.743133673e-13,3
14.24805921,39.00034387,-76.5,2.713983726e-12,3
14.29834864,39.00034522,-76.5,2.752914043e-12,3
14.34862965,39.00034657,-76.5,9.229792377e-12,3
14.39888477,39.00034792,-76.5,-5.572225683e-12,3
14.44915016,39.00034928,-76.5,-1.069809756e-12,3
14.49942229,39.00035063,-76.5,-6.202764272e-13,3
14.54968655,39.00035198,-76.5,7.602358174e-12,3
14.59991975,39.00035333,-76.5,5.910772649e-12,3
14.65015805,39.00035468,-76.5,1.322247504e-12,3
14.70038287,39.00035603,-76.5,-3.913053412e-12,3
14.75061475,39.00035738,-76.5,4.838143315e-12,3
14.80084156,39.00035873,-76.5,4.536967174e-12,3
14.85111266,39.00036008,-76.5,7.603511798e-12,3
14.90138098,39.00036144,-76.5,-2.609828793e-12,3
14.95163735,39.00036279,-76.5,-4.812553961e-12,3
15.00187994,39.00036414,-76.5,1.840363827e-12,3
15.05214557,39.00036549,-76.5,-4.66838347e-12,3
15.10239584,39.00036684,-76.5,-1.976874987e-12,3
15.15266495,39.00036819,-76.5,5.09210676e-12,3
15.20291558,39.00036954,-76.5,-2.691817595e-12,3
15.25317821,39.00037089,-76.5,-2.128360648e-12,3
15.30339143,39.00037225,-76.5,-3.217598504e-12,3
15.35359212,39.0003736,-76.5,-7.115075581e-12,3
15.40384649,39.00037495,-76.5,3.571928921e-12,3
15.45405871,39.0003763,-76.5,-4.733266333e-12,3
15.50431068,39.00037765,-76.5,3.003627314e-12,3
15.55455139,39.000379,-76.5,-3.693305202e-12,3
15.60480916,39.00038035,-76.5,-6.308545232e-12,3
15.65506487,39.0003817,-76.5,9.083389848e-13,3
15.70532852,39.00038305,-76.5,-2.465279632e-12,3
15.75554334,39.00038441,-76.5,8.929148523e-12,3
15.80577392,39.00038576,-76.5,3.472127475e-12,3
15.85597749,39.00038711,-76.5,-6.145107406e-12,3
15.9062239,39.00038846,-76.5,7.344316539e-12,3
15.95648936,39.00038981,-76.5,-5.219361868e-13,3
16.00668017,39.00039116,-76.5,-3.078014639e-12,3
16.05687688,39.00039251,-76.5,-3.148516047e-13,3
16.10707325,39.00039386,-76.5,-1.475360462e-12,3
16.15736098,39.00039522,-76.5,9.458816795e-13,3
16.20758476,39.00039657,-76.5,-3.882532833e-12,3
16.25783226,39.00039792,-76.5,-2.968668485e-12,3
16.30802944,39.00039927,-76.5,8.156443628e-13,3
16.35828426,39.00040062,-76.5,-2.051935559e-12,3
16.40852951,39.00040197,-76.5,-2.675389828e-12,3
16.45871567,39.00040332,-76.5,-2.675389828e-12,3
16.50897126,39.00040467,-76.5,-1.182092936e-13,3
16.55915813,39.00040602,-76.5,3.517333077e-12,3
16.60935584,39.00040738,-76.5,3.054286297e-13,3
16.65957382,39.00040873,-76.5,2.027525008e-12,3
16.70984849,39.00041008,-76.5,-6.992650565e-12,3
16.76005332,39.00041143,-76.5,2.918413948e-12,3
16.81035665,39.00041278,-76.5,-8.763028023e-13,3
16.8605779,39.00041413,-76.5,-6.077865512e-12,3
16.91080794,39.00041548,-76.5,3.040437109e-12,3
16.961036,39.00041683,-76.5,-5.314986804e-12,3
17.01132948,39.00041818,-76.5,-4.533932312e-12,3
17.06157426,39.00041954,-76.5,-5.611979784e-12,3
17.11176982,39.00042089,-76.5,6.390784862e-12,3
17.16198742,39.00042224,-76.5,4.437675078e-12,3
17.21220598,39.00042359,-76.5,-4.390222551e-12,3
17.26245908,39.00042494,-76.5,-8.521188279e-13,3
17.31266513,39.00042629,-76.5,4.124188806e-13,3
17.36286082,39.00042764,-76.5,-6.267581115e-13,3
17.41306692,39.00042899,-76.5,-2.237013384e-12,3
17.46331656,39.00043035,-76.5,-2.607398827e-12,3
17.51357049,39.0004317,-76.5,-3.976651602e-12,3
17.56380095,39.00043305,-76.5,-2.733981769e-12,3
17.6140426,39.0004344,-76.5,5.107151433e-12,3
17.664305,39.00043575,-76.5,5.060530082e-12,3
17.71457439,39.0004371,-76.5,3.379020092e-12,3
17.76482397,39.00043845,-76.5,3.844365957e-12,3
17.81507539,39.0004398,-76.5,-3.876346006e-12,3
17.86537079,39.00044115,-76.5,-5.38131497e-12,3
17.91557822,39.00044251,-76.5,1.038797461e-11,3
17.96580816,39.00044386,-76.5,5.594615784e-12,3
18.01607919,39.00044521,-76.5,1.56949657e-12,3
18.06637053,39.00044656,-76.5,-3.115635181e-12,3
18.11661991,39.00044791,-76.5,5.086021532e-12,3
18.16688629,39.00044926,-76.5,6.860589036e-12,3
18.2171982,39.00045061,-76.5,2.386185362e-13,3
18.26744557,39.00045196,-76.5,7.020284181e-13,3
18.31767902,39.00045332,-76.5,-8.209444639e-12,3
18.36792996,39.00045467,-76.5,-3.23374541e-12,3
18.41816741,39.00045602,-76.5,5.441800106e-12,3
18.4683818,39.00045737,-76.5,8.633224228e-12,3
18.5185871,39.00045872,-76.5,-2.741263492e-12,3
18.56884202,39.00046007,-76.5,-5.016119532e-12,3
18.61904783,39.00046142,-76.5,-1.255076464e-13,3
18.66931083,39.00046277,-76.5,1.704752413e-12,3
18.71953912,39.00046412,-76.5,-2.692624491e-12,3
18.76978267,39.00046548,-76.5,2.786008303e-12,3
18.82000933,39.00046683,-76.5,-1.421429698e-12,3
18.87028557,39.00046818,-76.5,-2.814218741e-12,3
18.92062446,39.00046953,-76.5,4.635078607e-12,3
18.97090037,39.00047088,-76.5,-5.001255372e-12,3
19.0211302,39.00047223,-76.5,-4.765192501e-12,3
19.07138,39.00047358,-76.5,2.876299615e-12,3
19.12158585,39.00047493,-76.5,-4.877458977e-12,3
19.17184518,39.00047628,-76.5,3.829311058e-12,3
19.22205994,39.00047764,-76.5,4.31042915e-12,3
19.27236212,39.00047899,-76.5,-2.392482503e-12,3
19.32267589,39.00048034,-76.5,-3.106198527e-13,3
19.37292446,39.00048169,-76.5,-2.405999537e-12,3
19.42314493,39.00048304,-76.5,-2.203819692e-12,3
19.47334624,39.00048439,-76.5,-1.594306536e-12,3
19.52354709,39.00048574,-76.5,-1.407549149e-12,3
19.57374869,39.00048709,-76.5,-4.396953757e-13,3
19.62393391,39.00048844,-76.5,-3.358802114e-12,3
19.67413082,39.0004898,-76.5,3.583550841e-12,3
19.72430915,39.00049115,-76.5,-1.54587418e-12,3
19.7745096,39.0004925,-76.5,-7.028502283e-12,3
19.8247091,39.00049385,-76.5,-1.764055683e-12,3
19.87492301,39.0004952,-76.5,-1.140164314e-12,3
